cik,name,cohort,sector_hint
28823,"DIEBOLD NIXDORF, Inc",distress,3578
57725,LANNETT CO INC,distress,2834
77281,PENNSYLVANIA REAL ESTATE INVESTMENT TRUST,distress,6798
84129,"NEW RITE AID, LLC",distress,5912
105319,"WW INTERNATIONAL, INC.",distress,7200
314808,Valaris Ltd,distress,1381
352998,"Teligent, Inc.",distress,2834
716006,Yellow Corp,distress,4213
720154,"Inotiv, Inc.",distress,8731
730255,CalAmp Corp.,distress,3663
742112,INVACARE HOLDINGS Corp,distress,3842
748790,"Global Clean Energy Holdings, Inc.",distress,2860
768835,FORMER BL STORES INC,distress,5331
814549,EBIX INC,distress,7373
827187,Sleep Number Corp,distress,2510
837852,"IDEANOMICS, INC.",distress,3711
850261,"Sorrento Therapeutics, Inc.",distress,2836
866609,ION GEOPHYSICAL CORP,distress,1382
867773,SUNPOWER CORP,distress,3674
870826,"Legacy IMBDS, Inc.",distress,5961
874499,GULFPORT ENERGY CORP,distress,1311
883943,CHRISTOPHER & BANKS CORP,distress,5621
886158,"20230930-DK-Butterfly-1, Inc.",distress,5700
886835,SUPERIOR ENERGY SERVICES INC,distress,1389
887921,REVLON INC /DE/,distress,2844
890447,Vertex Energy Inc.,distress,2911
895419,"WOLFSPEED, INC.",distress,3674
904979,SHILOH INDUSTRIES INC,distress,3460
910612,CBL & ASSOCIATES PROPERTIES INC,distress,6798
922358,FERRELLGAS PARTNERS L P,distress,5900
1001233,"SANGAMO THERAPEUTICS, INC",distress,2836
1008654,TUPPERWARE BRANDS CORP,distress,3089
1008848,"Acorda Therapeutics, Inc.",distress,2836
1009759,"Capstone Energy Plus, Inc.",distress,3510
1021096,"Troika Media Group, Inc.",distress,4841
1036848,Mega Matrix Corp.,distress,7812
1058623,CUMULUS MEDIA INC,distress,4832
1067837,"AUDACY, INC.",distress,4832
1069996,FedNat Holding Co,distress,6331
1078207,BOWFLEX INC.,distress,3949
1084384,PARETEUM Corp,distress,7373
1101396,"DELTA APPAREL, INC",distress,5130
1101680,DZS INC.,distress,3661
1108967,"Orbital Infrastructure Group, Inc.",distress,5065
1109189,"BASIC ENERGY SERVICES, INC.",distress,1389
1136294,"NOS4-1, Inc.",distress,1600
1159167,IROBOT CORP,distress,3630
1162461,CUTERA INC,distress,3845
1220754,ModivCare Inc,distress,4700
1223389,CONNS INC,distress,5731
1254699,"QVC Group, Inc.",distress,5961
1275229,"General Moly, Inc",distress,1000
1277250,"Charge Enterprises, Inc.",distress,4822
1281774,TOWN SPORTS INTERNATIONAL HOLDINGS INC,distress,7997
1300699,"Athenex, Inc.",distress,2834
1305253,"Eiger BioPharmaceuticals, Inc.",distress,2836
1333835,Casa Systems Inc,distress,3663
1346980,"Chaparral Energy, Inc.",distress,1311
1347652,"CorEnergy Infrastructure Trust, Inc.",distress,6798
1353538,"Appgate, Inc.",distress,7372
1355096,"Old QVC Group, Inc.",distress,5961
1365916,"AMYRIS, INC.",distress,2860
1377630,"National CineMedia, Inc.",distress,7310
1391127,"Edgio, Inc.",distress,7389
1396033,"LL Flooring Holdings, Inc.",distress,5211
1399935,FHC Holdings Corp,distress,5600
1401708,"NS Wind Down Co., Inc.",distress,2836
1411688,"Container Store Group, Inc.",distress,5700
1415404,EchoStar CORP,distress,4899
1418100,Avaya Holdings Corp.,distress,7372
1446687,"SILVER STAR PROPERTIES REIT, INC",distress,6500
1455684,"TPI COMPOSITES, INC",distress,3510
1456772,OFFICE PROPERTIES INCOME TRUST,distress,6500
1459417,"2U, LLC",distress,7372
1466301,"Clovis Oncology, Inc.",distress,2834
1467154,"NVN Liquidation, Inc.",distress,2834
1483510,"EXP OldCo Winddown, Inc.",distress,5600
1486159,Chord Energy Corp,distress,1311
1498710,"Spirit Aviation Holdings, Inc.",distress,4512
1501134,Invitae Corp,distress,8071
1514732,"SAExploration Holdings, Inc.",distress,1382
1519061,Trinseo PLC,distress,2821
1522690,"GWG Holdings, Inc.",distress,6311
1525773,Intelsat S.A.,distress,4899
1529463,"FTS International, Inc.",distress,1389
1532286,"Nine Energy Service, Inc.",distress,1389
1537028,"Independence Contract Drilling, Inc.",distress,1381
1551693,"PROJECT SAGE OLDCO, INC.",distress,3842
1567892,Keenova Therapeutics plc,distress,2834
1579823,"NewAge, Inc.",distress,2082
1580864,"Vroom, Inc.",distress,5500
1583077,"Hospitality Investors Trust, Inc.",distress,6798
1584754,ATECH (PARENT) RESOLUTION CORP.,distress,3661
1587246,"Cypress Environmental Partners, L.P.",distress,7389
1592057,"Enviva, LLC",distress,2400
1592058,Party City Holdco Inc.,distress,5900
1593034,Endo International plc,distress,2834
1594686,WASHINGTON PRIME GROUP INC.,distress,6798
1595585,"Tricida, Inc.",distress,2834
1596946,Quotient Ltd,distress,2835
1597313,"ViewRay, Inc.",distress,3845
1634447,"ISUN, INC.",distress,3674
1648428,"Sequential Brands Group, Inc.",distress,2300
1651944,"DermTech, Inc.",distress,8071
1652724,"Lucira Health, Inc.",distress,2835
1655075,"Armstrong Flooring, Inc.",distress,3089
1656634,"Gritstone bio, Inc.",distress,2836
1659352,"Codiak BioSciences, Inc.",distress,2836
